ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
228,,,CARBON BRUSH,1,,hidden,,,,,,,1,,0,0,,,,,0,,,40,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
529,,,Cheddar paste Clean Label/20 liter,1,,visible,,"11/12
Toll pr. bøtte: 415,- + Cheddar: 1435,-= 1850,-",,,,,1,45,0,0,,,,,0,,,2225,Popcorn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,CHEDDAR POPCORN 60 LITER / 4.2 KG,1,,visible,,Aug.-22,,,,,1,,0,0,4.5,,,,0,,,1292,Popcorn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,CHEESE TUMBLER 8 GAL #2703,1,,visible,,,,,,,1,1,0,0,,,,,0,,,9600,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,CHILI MIX VARMESKP/8 STK/900G,1,,visible,,,,,,,1,,0,0,7.2,,,,0,,,675,Snacks,,,,,,,,,,,,,,,,,,,,,,,,,
693,,,Christmas Mix /25g/96 stk.,1,,visible,,,,,,,1,70,0,0,2.6,,,,0,,,525,Kjærligheter,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,CITATION RUSTFRITT STÅL #2001STX,1,,visible,,11/22,,,,,1,4,0,0,53.5,,,,0,,,24500,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,COOLING PAN #2166,1,,visible,,oppdatert 9/22,,,,,1,,0,0,,,,,0,,,1995,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,CORONADO 60 OZ #2297-01-100EA,1,,visible,,,,,,,1,,0,0,,,,,0,,,54100,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,CORONADO 60 OZ TWIN KETTLE W/TABLE #62119SP,1,,visible,,"Komplett med bord, 2 kjeler og 2 pumper.",,,,,1,,0,0,,,,,0,,,145000,Popcornmaskiner,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,COTTON CANDY COLA & BRINGEBÆR/50G/24STK,1,,visible,,Aug-22,,,,,1,,0,0,2.8,,,,0,,,336,Sukkerspinn tilbehør mat,,,,,,,,,,,,,,,,,,,,,,,,,
